M,OSNR_dB,coded_ber,uncoded_ber,sigma_eff,s_per_frame
4,4,0.22689609159779614,0.17244402066929135,0.7484048445147001,0.6342284083366394
4,5,0.17680354683195593,0.1467048064304462,0.6710813133257458,0.5792330900828043
4,6,0.004304407713498623,0.12108862368766404,0.6025782110476136,0.5531157851219177
4,7,0.0,0.0968514189632546,0.5419880421378948,0.5090622305870056
4,8,0.0,0.07430589730971128,0.4885018932081189,0.4519616862138112
4,9,0.0,0.05499507874015748,0.44139802979788706,0.39380334814389545
16,11,0.17612560261707988,0.14857591043307086,0.3667141344202743,0.4846101403236389
16,12,0.04681043388429752,0.130859375,0.334991711935037,0.4761313299338023
16,12.5,0.0026364497245179065,0.12291871719160105,0.3207315230900274,0.4521048069000244
16,13,0.0,0.11522412237532809,0.3074635218666922,0.43960445125897724
16,14,0.0,0.10009637467191601,0.2836931818579872,0.4157852629820506
16,15,0.0,0.08634760498687664,0.2632800718026221,0.38669078548749286
