name,required_ebn0_1e-3,n4,n6,girth,as_count,as_min_a,as_min_b,floor_ber_4.0,floor_ber_4.5,floor_ber_5.0,floor_ferr_4.0,floor_ferr_4.5,floor_ferr_5.0,floor_ber_metric
round_robin,3.122061283985198,1088,63712,4,1104,4,2,2.8409090909090907e-06,6.764069264069264e-07,0.0,9,3,0,2.8409090909090907e-06
random_0,3.024453335790252,0,55744,6,1128,5,2,2.9761904761904763e-06,0.0,0.0,4,0,0,2.9761904761904763e-06
random_1,2.9834217094751447,720,56976,4,1034,4,2,4.0584415584415586e-07,0.0,0.0,1,0,0,4.0584415584415586e-07
random_2,3.090268934978038,752,64096,4,1153,4,2,2.7056277056277056e-06,8.793290043290043e-07,0.0,7,1,0,2.7056277056277056e-06
random_3,3.0519980483492386,368,51040,4,1264,5,2,3.382034632034632e-07,0.0,0.0,1,0,0,3.382034632034632e-07
random_4,3.059710587589119,1104,53168,4,1011,4,2,2.2321428571428573e-06,6.764069264069264e-08,0.0,4,1,0,2.2321428571428573e-06
random_5,3.1826541632059717,1072,59456,4,1070,3,2,1.1431277056277056e-05,6.087662337662337e-07,6.764069264069264e-08,35,5,1,1.1431277056277056e-05
random_6,3.1016433607817375,1072,59840,4,1200,4,2,0.0,0.0,0.0,0,0,0,3.382034632034632e-08
random_7,3.2207199205258092,768,57824,4,712,3,2,2.773268398268398e-06,0.0,0.0,8,0,0,2.773268398268398e-06
random_8,2.94190496078067,384,58944,4,1254,4,2,0.0,0.0,0.0,0,0,0,3.382034632034632e-08
random_9,3.098441362510181,2256,59616,4,865,3,2,6.764069264069264e-07,2.0292207792207793e-07,0.0,3,1,0,6.764069264069264e-07
random_10,3.156351459471564,1488,49808,4,768,6,2,6.087662337662337e-07,0.0,0.0,2,0,0,6.087662337662337e-07
random_11,2.99067595892943,0,58096,6,872,6,2,0.0,0.0,0.0,0,0,0,3.382034632034632e-08
random_12,3.055783574322496,1088,55040,4,1178,4,2,1.3528138528138528e-06,0.0,0.0,1,0,0,1.3528138528138528e-06
random_13,3.182698775891849,1456,63040,4,869,3,2,3.923160173160173e-06,2.0292207792207793e-07,0.0,8,1,0,3.923160173160173e-06
random_14,3.058702965147419,1120,63184,4,949,4,2,3.382034632034632e-07,4.734848484848485e-07,0.0,2,1,0,3.382034632034632e-07
random_15,3.131976682025616,352,55504,4,1016,3,2,6.087662337662337e-07,0.0,0.0,2,0,0,6.087662337662337e-07
cem_waterfall,2.920891785966084,736,62176,4,1002,4,2,0.0,0.0,0.0,0,0,0,3.382034632034632e-08
cem_floor,3.012511798816828,1072,50560,4,330,3,2,6.087662337662337e-07,0.0,0.0,1,0,0,6.087662337662337e-07
