group,pd_B_GHz,L_km,eq,ROP_dBm,lag,acf
PAM4,40.0,2.0,FFE,-12.0,0,1.0
PAM4,40.0,2.0,FFE,-12.0,1,-0.17123542293875968
PAM4,40.0,2.0,FFE,-12.0,2,0.07091859066195431
PAM4,40.0,2.0,FFE,-12.0,3,-0.06773446289301314
PAM4,40.0,2.0,FFE,-12.0,4,0.0224255202077629
PAM4,40.0,2.0,FFE,-12.0,5,-0.04959716578610751
PAM4,40.0,2.0,FFE,-12.0,6,0.024442751299501294
PAM6,40.0,2.0,FFE,-10.0,0,1.0
PAM6,40.0,2.0,FFE,-10.0,1,-0.12759417935826278
PAM6,40.0,2.0,FFE,-10.0,2,0.06191109835727171
PAM6,40.0,2.0,FFE,-10.0,3,-0.045168958994187325
PAM6,40.0,2.0,FFE,-10.0,4,0.004027979591963219
PAM6,40.0,2.0,FFE,-10.0,5,-0.05643560716041982
PAM6,40.0,2.0,FFE,-10.0,6,0.004226972623891164
PAM4,30.0,2.0,DFE6,-2.0,0,1.0
PAM4,30.0,2.0,DFE6,-2.0,1,-0.4012359966509558
PAM4,30.0,2.0,DFE6,-2.0,2,0.013467325845401598
PAM4,30.0,2.0,DFE6,-2.0,3,-0.032100623014284776
PAM4,30.0,2.0,DFE6,-2.0,4,0.1842646379544903
PAM4,30.0,2.0,DFE6,-2.0,5,-0.1960854128259076
PAM4,30.0,2.0,DFE6,-2.0,6,0.14843801354168454
PAM4,30.0,2.0,FFE,-2.0,0,1.0
PAM4,30.0,2.0,FFE,-2.0,1,-0.8216187133484545
PAM4,30.0,2.0,FFE,-2.0,2,0.570694448288704
PAM4,30.0,2.0,FFE,-2.0,3,-0.2619940946081369
PAM4,30.0,2.0,FFE,-2.0,4,0.00012291923156987212
PAM4,30.0,2.0,FFE,-2.0,5,0.14116950551216753
PAM4,30.0,2.0,FFE,-2.0,6,-0.15962957890142596
PAM6,30.0,2.0,DFE6,6.0,0,1.0
PAM6,30.0,2.0,DFE6,6.0,1,-0.5697180625886639
PAM6,30.0,2.0,DFE6,6.0,2,-0.057586520103838135
PAM6,30.0,2.0,DFE6,6.0,3,0.38252423732320234
PAM6,30.0,2.0,DFE6,6.0,4,-0.3320819488912332
PAM6,30.0,2.0,DFE6,6.0,5,0.07026622701576088
PAM6,30.0,2.0,DFE6,6.0,6,0.18832662473176448
PAM6,30.0,2.0,FFE,6.0,0,1.0
PAM6,30.0,2.0,FFE,6.0,1,-0.7989470108823358
PAM6,30.0,2.0,FFE,6.0,2,0.5412187653306909
PAM6,30.0,2.0,FFE,6.0,3,-0.24821948836907284
PAM6,30.0,2.0,FFE,6.0,4,-0.009432806423666453
PAM6,30.0,2.0,FFE,6.0,5,0.15388843758527862
PAM6,30.0,2.0,FFE,6.0,6,-0.1658412413620766
PAM4,40.0,10.0,FFE,-12.0,0,1.0
PAM4,40.0,10.0,FFE,-12.0,1,-0.17123542294728886
PAM4,40.0,10.0,FFE,-12.0,2,0.0709185906586804
PAM4,40.0,10.0,FFE,-12.0,3,-0.06773446289387453
PAM4,40.0,10.0,FFE,-12.0,4,0.022425520211411896
PAM4,40.0,10.0,FFE,-12.0,5,-0.049597165782716564
PAM4,40.0,10.0,FFE,-12.0,6,0.02444275130471188
PAM6,40.0,10.0,FFE,-10.0,0,1.0
PAM6,40.0,10.0,FFE,-10.0,1,-0.12759417929779304
PAM6,40.0,10.0,FFE,-10.0,2,0.06191109838314042
PAM6,40.0,10.0,FFE,-10.0,3,-0.04516895899499479
PAM6,40.0,10.0,FFE,-10.0,4,0.004027979561238449
PAM6,40.0,10.0,FFE,-10.0,5,-0.0564356071880392
PAM6,40.0,10.0,FFE,-10.0,6,0.0042269725989590974
PAM4,30.0,10.0,DFE6,-2.0,0,1.0
PAM4,30.0,10.0,DFE6,-2.0,1,-0.4012359952801801
PAM4,30.0,10.0,DFE6,-2.0,2,0.013467324894910421
PAM4,30.0,10.0,DFE6,-2.0,3,-0.03210062435886297
PAM4,30.0,10.0,DFE6,-2.0,4,0.18426463694379214
PAM4,30.0,10.0,DFE6,-2.0,5,-0.19608541224155437
PAM4,30.0,10.0,DFE6,-2.0,6,0.1484380140141505
PAM4,30.0,10.0,FFE,-2.0,0,1.0
PAM4,30.0,10.0,FFE,-2.0,1,-0.8216187120892229
PAM4,30.0,10.0,FFE,-2.0,2,0.5706944474400172
PAM4,30.0,10.0,FFE,-2.0,3,-0.2619940953427236
PAM4,30.0,10.0,FFE,-2.0,4,0.000122920140039805
PAM4,30.0,10.0,FFE,-2.0,5,0.14116950609519152
PAM4,30.0,10.0,FFE,-2.0,6,-0.15962957960414562
PAM6,30.0,10.0,DFE6,6.0,0,1.0
PAM6,30.0,10.0,DFE6,6.0,1,-0.5697180629468633
PAM6,30.0,10.0,DFE6,6.0,2,-0.05758652001574804
PAM6,30.0,10.0,DFE6,6.0,3,0.3825242377865609
PAM6,30.0,10.0,DFE6,6.0,4,-0.3320819488386409
PAM6,30.0,10.0,DFE6,6.0,5,0.07026622693392477
PAM6,30.0,10.0,DFE6,6.0,6,0.18832662465857788
PAM6,30.0,10.0,FFE,6.0,0,1.0
PAM6,30.0,10.0,FFE,6.0,1,-0.7989470151720116
PAM6,30.0,10.0,FFE,6.0,2,0.5412187684871553
PAM6,30.0,10.0,FFE,6.0,3,-0.24821948900335833
PAM6,30.0,10.0,FFE,6.0,4,-0.009432806597598287
PAM6,30.0,10.0,FFE,6.0,5,0.15388843700352917
PAM6,30.0,10.0,FFE,6.0,6,-0.1658412402907437
