group,pd_B_GHz,L_km,eq,ROP_dBm,level,err_var,count
PAM4,40.0,2.0,FFE,-12.0,0,0.01570569519459801,1026
PAM4,40.0,2.0,FFE,-12.0,1,0.01498387354110893,1007
PAM4,40.0,2.0,FFE,-12.0,2,0.015436273849807369,1002
PAM4,40.0,2.0,FFE,-12.0,3,0.017750541009001846,965
PAM6,40.0,2.0,FFE,-10.0,0,0.007866705781817647,704
PAM6,40.0,2.0,FFE,-10.0,1,0.008031761881204535,635
PAM6,40.0,2.0,FFE,-10.0,2,0.0076594382160599245,694
PAM6,40.0,2.0,FFE,-10.0,3,0.007791579364664112,664
PAM6,40.0,2.0,FFE,-10.0,4,0.008349473439248871,672
PAM6,40.0,2.0,FFE,-10.0,5,0.009761005289144477,631
PAM4,30.0,2.0,DFE6,-2.0,0,0.052758712552381015,1026
PAM4,30.0,2.0,DFE6,-2.0,1,0.03906943126766159,1007
PAM4,30.0,2.0,DFE6,-2.0,2,0.023608706426015483,1002
PAM4,30.0,2.0,DFE6,-2.0,3,0.06290154431127759,965
PAM4,30.0,2.0,FFE,-2.0,0,0.18467917476799925,1026
PAM4,30.0,2.0,FFE,-2.0,1,0.2468099547217573,1007
PAM4,30.0,2.0,FFE,-2.0,2,0.21715778117837334,1002
PAM4,30.0,2.0,FFE,-2.0,3,0.23490088978693147,965
PAM6,30.0,2.0,DFE6,6.0,0,0.6234421959382999,704
PAM6,30.0,2.0,DFE6,6.0,1,0.7205765889176903,635
PAM6,30.0,2.0,DFE6,6.0,2,0.6042809605707816,694
PAM6,30.0,2.0,DFE6,6.0,3,0.5354411221581765,664
PAM6,30.0,2.0,DFE6,6.0,4,0.536991771654329,672
PAM6,30.0,2.0,DFE6,6.0,5,0.5529537697794259,631
PAM6,30.0,2.0,FFE,6.0,0,0.17824135037296437,704
PAM6,30.0,2.0,FFE,6.0,1,0.2886239637688678,635
PAM6,30.0,2.0,FFE,6.0,2,0.20633735318309654,694
PAM6,30.0,2.0,FFE,6.0,3,0.2502420946477263,664
PAM6,30.0,2.0,FFE,6.0,4,0.22661270310847514,672
PAM6,30.0,2.0,FFE,6.0,5,0.24459575005680195,631
PAM4,40.0,10.0,FFE,-12.0,0,0.01570569519435188,1026
PAM4,40.0,10.0,FFE,-12.0,1,0.014983873541224903,1007
PAM4,40.0,10.0,FFE,-12.0,2,0.015436273849711806,1002
PAM4,40.0,10.0,FFE,-12.0,3,0.017750541008596406,965
PAM6,40.0,10.0,FFE,-10.0,0,0.007866705782339889,704
PAM6,40.0,10.0,FFE,-10.0,1,0.008031761881413548,635
PAM6,40.0,10.0,FFE,-10.0,2,0.007659438215797441,694
PAM6,40.0,10.0,FFE,-10.0,3,0.007791579364920073,664
PAM6,40.0,10.0,FFE,-10.0,4,0.008349473439781657,672
PAM6,40.0,10.0,FFE,-10.0,5,0.009761005291409365,631
PAM4,30.0,10.0,DFE6,-2.0,0,0.052758712421161945,1026
PAM4,30.0,10.0,DFE6,-2.0,1,0.03906943142041985,1007
PAM4,30.0,10.0,DFE6,-2.0,2,0.023608706358306638,1002
PAM4,30.0,10.0,DFE6,-2.0,3,0.06290154467572964,965
PAM4,30.0,10.0,FFE,-2.0,0,0.1846791745747513,1026
PAM4,30.0,10.0,FFE,-2.0,1,0.24680995616057907,1007
PAM4,30.0,10.0,FFE,-2.0,2,0.2171577813923596,1002
PAM4,30.0,10.0,FFE,-2.0,3,0.23490088897706868,965
PAM6,30.0,10.0,DFE6,6.0,0,0.6234421959297602,704
PAM6,30.0,10.0,DFE6,6.0,1,0.720576588660136,635
PAM6,30.0,10.0,DFE6,6.0,2,0.6042809602739789,694
PAM6,30.0,10.0,DFE6,6.0,3,0.5354411221581538,664
PAM6,30.0,10.0,DFE6,6.0,4,0.5369917713056119,672
PAM6,30.0,10.0,DFE6,6.0,5,0.5529537698021532,631
PAM6,30.0,10.0,FFE,6.0,0,0.1782413503980519,704
PAM6,30.0,10.0,FFE,6.0,1,0.2886239587868236,635
PAM6,30.0,10.0,FFE,6.0,2,0.2063373525329223,694
PAM6,30.0,10.0,FFE,6.0,3,0.2502420929556704,664
PAM6,30.0,10.0,FFE,6.0,4,0.22661270175404113,672
PAM6,30.0,10.0,FFE,6.0,5,0.2445957509291586,631
