group,n_levels,pd_B_GHz,L_km,ROP_dBm,eq,ffe_taps,dfe_taps,snr_dB,evm_pct,ser,ber,ber_msb,ber_lsb,bit_ber_ratio,sigma,acf1,acf2,acf3,sfm,isi_m1,isi_p1,isi_m2,isi_p2,isi_m3,isi_p3,lvl_var_ratio
PAM4,4,40.0,2.0,-12.0,FFE,41,0,17.77952689111809,12.912896065292989,0.0005,0.00025,0.0,0.0005,4.9999999999999994e+26,0.12889631895744896,-0.17123542293875968,0.07091859066195431,-0.06773446289301314,0.9312939006684537,0.047794148737820855,0.048668663903927996,-0.024597610513728413,-0.020798583435226975,-0.01353103432065153,-0.01562050693017152,1.1846430070503757
PAM4,4,40.0,2.0,-10.0,FFE,41,0,20.927588864180905,8.987120334608385,0.0,0.0,0.0,0.0,0.0,0.0897092893260559,-0.15436220848618307,0.06864581126636357,-0.06864340765731274,0.9358552868545208,0.033204376958560204,0.03470266181443799,-0.02276592806930433,-0.017605710704303872,-0.014679156047379063,-0.020070170428018938,1.337272542322422
PAM4,4,40.0,2.0,-8.0,FFE,41,0,23.4172557750636,6.7474117213721305,0.0,0.0,0.0,0.0,0.0,0.06735255429746838,-0.12404007438660276,0.06747155692625813,-0.06638348049099717,0.9404251314965459,0.019342113477551753,0.020701888601432687,-0.020097869820275806,-0.01364027738630973,-0.015226510061598187,-0.024047859098336653,1.60454373940615
PAM4,4,40.0,2.0,-6.0,FFE,41,0,25.08587752860377,5.56808842529779,0.0,0.0,0.0,0.0,0.0,0.055580568295558345,-0.0886908615281391,0.06753478529864326,-0.06181749210234328,0.9422684035259137,0.006953418514668914,0.007268801921799676,-0.016753833144887053,-0.009585598577248193,-0.014952063723048338,-0.02681765650400311,1.9950243658972786
PAM6,6,40.0,2.0,-12.0,FFE,41,0,17.412959719858804,13.469516728954323,0.02975,nan,nan,nan,nan,0.13444864195402573,-0.1562939955534154,0.06370246962094157,-0.05242793276685224,0.9316436538706399,0.04544460236964384,0.055585870792062,-0.0233861177392458,-0.010009026143181544,0.0029041001071780674,-0.025250482001547787,1.147772937209462
PAM6,6,40.0,2.0,-10.0,FFE,41,0,20.555128286814135,9.38088011115789,0.0035,nan,nan,nan,nan,0.09363710789768047,-0.12759417935826278,0.06191109835727171,-0.045168958994187325,0.9367432368091729,0.03261194144280618,0.0460729153706845,-0.020540695481923714,-0.004109956862807119,0.006029996723253619,-0.03074776085716347,1.2743761374924458
PAM6,6,40.0,2.0,-8.0,FFE,41,0,23.01285058716565,7.068991682152441,0.0015,nan,nan,nan,nan,0.07056053686073732,-0.07719148186917496,0.06279535774722837,-0.03648693843144808,0.9427338042178742,0.020870419321179612,0.03690559389789998,-0.01682964843743804,0.0024731739213093174,0.009512521961981225,-0.03532494714113443,1.611574955182009
PAM6,6,40.0,2.0,-6.0,FFE,41,0,24.634890447516046,5.864830669824582,0.00175,nan,nan,nan,nan,0.05854096585018674,-0.0224869859783311,0.06188397827647891,-0.031416434104097474,0.9466084306769603,0.010160138080583227,0.02796550015457669,-0.013259228554610166,0.008777088732414466,0.012139015237311822,-0.038000721097365166,2.2083561234791236
PAM4,4,30.0,2.0,-2.0,DFE6,41,6,13.450702960903168,21.255183171575897,0.023,0.012,0.0075,0.0165,2.2,0.212168893463504,-0.4012359966509558,0.013467325845401598,-0.032100623014284776,0.7856927895432939,0.09652180137346074,0.10829408937734626,-0.17693264659199678,-0.046528587897310465,0.1595109833681992,-0.02470091652200201,2.6643367567976357
PAM4,4,30.0,2.0,-2.0,FFE,41,0,5.511264706803772,53.019638789526766,0.357,0.1845,0.114,0.255,2.236842105263158,0.5292411739293678,-0.8216187133484545,0.570694448288704,-0.2619940946081369,0.0400189776310117,0.4061876448143103,0.40862297183871393,-0.3052882690859374,-0.30159906238555145,0.14647737455857876,0.1546985933784788,1.3364254796557815
PAM4,4,30.0,2.0,2.0,DFE6,41,6,9.449033150825713,33.69367189647385,0.039,0.022875,0.01575,0.03,1.9047619047619047,0.33632968604839353,-0.49195608351519615,-0.0904174910397334,0.29368623150530926,0.42225086438993154,0.06767496029445583,0.1271789964192452,-0.10049602130208748,-0.07405270583399455,0.09947063973985867,-0.014587332328173089,1.2694802431401617
