cell,rate,w,E,method,fer,ber,n4
R0.5_w1,0.5,1,172,rl,0.91333,4.311e-03,768
R0.5_w1,0.5,1,172,rl_peredge,0.90000,5.524e-03,3008
R0.5_w1,0.5,1,172,cem,0.91000,5.710e-03,1472
R0.5_w1,0.5,1,172,random_search,0.90667,5.125e-03,2272
R0.5_w1,0.5,1,172,round_robin,0.93667,6.749e-03,1504
R0.5_w1,0.5,1,172,seed0_default,0.99333,1.196e-02,3840
R0.5_w2,0.5,2,172,rl,0.01667,2.798e-06,1472
R0.5_w2,0.5,2,172,rl_peredge,0.04333,8.394e-06,736
R0.5_w2,0.5,2,172,cem,0.07333,2.131e-05,1536
R0.5_w2,0.5,2,172,random_search,0.08333,2.583e-05,0
R0.5_w2,0.5,2,172,round_robin,0.34333,1.659e-04,704
R0.5_w2,0.5,2,172,seed0_default,0.70667,5.172e-04,1504
R0.5_w3,0.5,3,172,rl,0.01000,5.862e-06,1472
R0.5_w3,0.5,3,172,rl_peredge,0.01000,4.284e-06,736
R0.5_w3,0.5,3,172,cem,0.08000,4.509e-05,0
R0.5_w3,0.5,3,172,random_search,0.06333,1.308e-05,736
R0.5_w3,0.5,3,172,round_robin,0.32000,2.924e-04,0
R0.5_w3,0.5,3,172,seed0_default,0.83000,1.668e-03,1536
R0.667_w1,0.667,1,121,rl,0.04000,1.915e-05,0
R0.667_w1,0.667,1,121,rl_peredge,0.05667,1.812e-05,1504
R0.667_w1,0.667,1,121,cem,0.08333,2.223e-05,1472
R0.667_w1,0.667,1,121,random_search,0.08000,3.458e-05,768
R0.667_w1,0.667,1,121,round_robin,0.07667,1.709e-05,0
R0.667_w1,0.667,1,121,seed0_default,0.12667,6.691e-05,0
R0.667_w2,0.667,2,121,rl,0.09000,5.381e-05,768
R0.667_w2,0.667,2,121,rl_peredge,0.11667,4.692e-05,736
R0.667_w2,0.667,2,121,cem,0.10000,6.435e-05,736
R0.667_w2,0.667,2,121,random_search,0.19667,1.018e-04,0
R0.667_w2,0.667,2,121,round_robin,0.37667,4.421e-04,704
R0.667_w2,0.667,2,121,seed0_default,0.91667,4.935e-03,0
R0.667_w3,0.667,3,121,rl,0.00000,0.000e+00,0
R0.667_w3,0.667,3,121,rl_peredge,0.01000,2.029e-06,0
R0.667_w3,0.667,3,121,cem,0.01667,6.990e-06,0
R0.667_w3,0.667,3,121,random_search,0.14000,9.267e-05,0
R0.667_w3,0.667,3,121,round_robin,0.35000,3.617e-04,0
R0.667_w3,0.667,3,121,seed0_default,0.77333,2.589e-03,0
R0.75_w1,0.75,1,96,rl,0.03333,7.205e-06,0
R0.75_w1,0.75,1,96,rl_peredge,0.06000,2.038e-05,1504
R0.75_w1,0.75,1,96,cem,0.03333,2.429e-05,1504
R0.75_w1,0.75,1,96,random_search,0.04667,2.594e-05,768
R0.75_w1,0.75,1,96,round_robin,0.05333,1.132e-05,0
R0.75_w1,0.75,1,96,seed0_default,0.07667,3.500e-05,0
R0.75_w2,0.75,2,96,rl,0.11000,4.842e-05,0
R0.75_w2,0.75,2,96,rl_peredge,0.12000,8.566e-05,0
R0.75_w2,0.75,2,96,cem,0.02667,9.254e-06,0
