cell,rate,w,method,eval,mean_reward_loss,best_val_fer
R0.5_w1,0.5,1,rl,80,-0.9484,0.9500
R0.5_w1,0.5,1,rl,160,-0.9422,0.9000
R0.5_w1,0.5,1,rl,240,-0.9641,0.8875
R0.5_w1,0.5,1,rl,320,-0.9594,0.8875
R0.5_w1,0.5,1,rl,400,-0.9250,0.8625
R0.5_w1,0.5,1,rl,480,-0.9750,0.8625
R0.5_w1,0.5,1,rl,560,-0.9750,0.8625
R0.5_w1,0.5,1,rl,640,-0.9344,0.8625
R0.5_w1,0.5,1,rl,720,-0.9750,0.8625
R0.5_w1,0.5,1,rl,800,-0.9219,0.8625
R0.5_w1,0.5,1,rl_peredge,80,-0.9547,0.9375
R0.5_w1,0.5,1,rl_peredge,160,-0.9516,0.9375
R0.5_w1,0.5,1,rl_peredge,240,-0.9563,0.9250
R0.5_w1,0.5,1,rl_peredge,320,-0.9109,0.9000
R0.5_w1,0.5,1,rl_peredge,400,-0.9609,0.9000
R0.5_w1,0.5,1,rl_peredge,480,-0.9047,0.9000
R0.5_w1,0.5,1,rl_peredge,560,-0.8797,0.9000
R0.5_w1,0.5,1,rl_peredge,640,-0.8875,0.9000
R0.5_w1,0.5,1,rl_peredge,720,-0.8984,0.9000
R0.5_w1,0.5,1,rl_peredge,800,-0.9578,0.8125
R0.5_w1,0.5,1,cem,80,,0.9500
R0.5_w1,0.5,1,cem,160,,0.9000
R0.5_w1,0.5,1,cem,240,,0.9000
R0.5_w1,0.5,1,cem,320,,0.9000
R0.5_w1,0.5,1,cem,400,,0.9000
R0.5_w1,0.5,1,cem,480,,0.9000
R0.5_w1,0.5,1,cem,560,,0.9000
R0.5_w1,0.5,1,cem,640,,0.9000
R0.5_w1,0.5,1,cem,720,,0.9000
R0.5_w1,0.5,1,cem,800,,0.8125
R0.5_w1,0.5,1,random,80,,0.9375
R0.5_w1,0.5,1,random,160,,0.9375
R0.5_w1,0.5,1,random,240,,0.9000
