cell,rate,w,Z,E,train_snr,method,ber,fer,n4
R0.5_w1,0.5,1,64,172,3.94,rl,2.9302e-03,0.8833,704
R0.5_w1,0.5,1,64,172,3.94,rl_peredge,1.9607e-03,0.7933,768
R0.5_w1,0.5,1,64,172,3.94,cem,3.6792e-03,0.9000,0
R0.5_w1,0.5,1,64,172,3.94,random_search,2.4563e-03,0.8833,0
R0.5_w1,0.5,1,64,172,3.94,round_robin,3.5544e-03,0.9133,768
R0.5_w1,0.5,1,64,172,3.94,seed0_default,1.1782e-02,0.9700,1536
R0.5_w2,0.5,2,64,172,4.19,rl,8.3073e-04,0.8533,0
R0.5_w2,0.5,2,64,172,4.19,rl_peredge,3.4304e-04,0.5300,0
R0.5_w2,0.5,2,64,172,4.19,cem,5.8049e-04,0.7167,0
R0.5_w2,0.5,2,64,172,4.19,random_search,7.7841e-04,0.6700,0
R0.5_w2,0.5,2,64,172,4.19,round_robin,2.0935e-03,0.9433,0
R0.5_w2,0.5,2,64,172,4.19,seed0_default,4.6690e-03,0.9967,768
R0.5_w3,0.5,3,64,172,4.44,rl,6.6288e-04,0.5700,0
R0.5_w3,0.5,3,64,172,4.44,rl_peredge,3.9983e-04,0.5667,0
R0.5_w3,0.5,3,64,172,4.44,cem,1.0317e-03,0.8200,0
R0.5_w3,0.5,3,64,172,4.44,random_search,1.6280e-03,0.9033,0
R0.5_w3,0.5,3,64,172,4.44,round_robin,2.1204e-03,0.9300,0
R0.5_w3,0.5,3,64,172,4.44,seed0_default,9.3553e-03,1.0000,768
R0.667_w1,0.667,1,64,121,5.19,rl,1.8483e-03,0.7833,0
R0.667_w1,0.667,1,64,121,5.19,rl_peredge,1.2696e-03,0.7233,0
R0.667_w1,0.667,1,64,121,5.19,cem,2.1993e-03,0.6867,0
R0.667_w1,0.667,1,64,121,5.19,random_search,2.4285e-03,0.7933,0
R0.667_w1,0.667,1,64,121,5.19,round_robin,3.7412e-03,0.8633,0
R0.667_w1,0.667,1,64,121,5.19,seed0_default,9.5833e-03,0.9467,0
R0.667_w2,0.667,2,64,121,5.31,rl,1.8506e-03,0.7633,0
R0.667_w2,0.667,2,64,121,5.31,rl_peredge,1.9792e-03,0.6967,0
R0.667_w2,0.667,2,64,121,5.31,cem,1.2045e-03,0.7167,0
R0.667_w2,0.667,2,64,121,5.31,random_search,1.8366e-03,0.7367,0
R0.667_w2,0.667,2,64,121,5.31,round_robin,3.1998e-03,0.9033,0
R0.667_w2,0.667,2,64,121,5.31,seed0_default,9.6702e-03,0.9833,0
R0.667_w3,0.667,3,64,121,5.56,rl,5.5740e-04,0.4700,0
R0.667_w3,0.667,3,64,121,5.56,rl_peredge,1.0198e-03,0.5033,0
R0.667_w3,0.667,3,64,121,5.56,cem,4.2508e-04,0.4833,0
R0.667_w3,0.667,3,64,121,5.56,random_search,8.1019e-04,0.7467,0
R0.667_w3,0.667,3,64,121,5.56,round_robin,3.1000e-03,0.8700,0
R0.667_w3,0.667,3,64,121,5.56,seed0_default,1.0836e-02,0.9900,0
R0.75_w1,0.75,1,64,96,5.94,rl,1.5748e-03,0.6267,0
R0.75_w1,0.75,1,64,96,5.94,rl_peredge,1.8834e-03,0.6800,0
R0.75_w1,0.75,1,64,96,5.94,cem,3.0447e-03,0.7033,0
R0.75_w1,0.75,1,64,96,5.94,random_search,1.8122e-03,0.6567,0
R0.75_w1,0.75,1,64,96,5.94,round_robin,7.3577e-03,0.8633,0
R0.75_w1,0.75,1,64,96,5.94,seed0_default,8.8940e-03,0.8600,0
R0.75_w2,0.75,2,64,96,6.06,rl,8.5251e-04,0.4867,0
R0.75_w2,0.75,2,64,96,6.06,rl_peredge,1.0440e-03,0.4300,0
R0.75_w2,0.75,2,64,96,6.06,cem,1.1392e-03,0.4867,0
R0.75_w2,0.75,2,64,96,6.06,random_search,1.9394e-03,0.6633,0
R0.75_w2,0.75,2,64,96,6.06,round_robin,2.7045e-03,0.7167,0
R0.75_w2,0.75,2,64,96,6.06,seed0_default,7.1465e-03,0.9500,0
R0.75_w3,0.75,3,64,96,6.19,rl,1.6017e-03,0.6300,0
R0.75_w3,0.75,3,64,96,6.19,rl_peredge,1.0635e-03,0.6333,0
R0.75_w3,0.75,3,64,96,6.19,cem,1.1777e-03,0.6100,0
R0.75_w3,0.75,3,64,96,6.19,random_search,2.0415e-03,0.7733,0
R0.75_w3,0.75,3,64,96,6.19,round_robin,5.7739e-03,0.9200,0
R0.75_w3,0.75,3,64,96,6.19,seed0_default,1.2803e-02,0.9800,0
R0.833_w1,0.833,1,64,75,6.81,rl,3.0955e-03,0.8433,0
R0.833_w1,0.833,1,64,75,6.81,rl_peredge,2.8254e-03,0.7800,0
R0.833_w1,0.833,1,64,75,6.81,cem,2.8265e-03,0.6967,0
R0.833_w1,0.833,1,64,75,6.81,random_search,3.3951e-03,0.7333,0
R0.833_w1,0.833,1,64,75,6.81,round_robin,6.2003e-03,0.8967,0
R0.833_w1,0.833,1,64,75,6.81,seed0_default,9.2426e-03,0.9333,0
R0.833_w2,0.833,2,64,75,6.94,rl,1.5152e-03,0.7133,0
R0.833_w2,0.833,2,64,75,6.94,rl_peredge,1.4898e-03,0.5900,0
R0.833_w2,0.833,2,64,75,6.94,cem,1.7268e-03,0.6233,0
R0.833_w2,0.833,2,64,75,6.94,random_search,2.6757e-03,0.6867,0
R0.833_w2,0.833,2,64,75,6.94,round_robin,6.7843e-03,0.9400,0
R0.833_w2,0.833,2,64,75,6.94,seed0_default,6.2386e-03,0.9167,0
R0.833_w3,0.833,3,64,75,7.06,rl,1.3692e-03,0.6900,0
R0.833_w3,0.833,3,64,75,7.06,rl_peredge,1.2371e-03,0.6200,0
R0.833_w3,0.833,3,64,75,7.06,cem,1.4212e-03,0.5767,0
R0.833_w3,0.833,3,64,75,7.06,random_search,1.9358e-03,0.7200,0
R0.833_w3,0.833,3,64,75,7.06,round_robin,4.5236e-03,0.8867,0
R0.833_w3,0.833,3,64,75,7.06,seed0_default,3.7487e-03,0.8333,0
R0.875_w1,0.875,1,64,69,7.32,rl,1.9368e-03,0.6333,0
R0.875_w1,0.875,1,64,69,7.32,rl_peredge,2.6825e-03,0.6400,0
R0.875_w1,0.875,1,64,69,7.32,cem,1.9800e-03,0.6033,0
R0.875_w1,0.875,1,64,69,7.32,random_search,2.4994e-03,0.5967,0
R0.875_w1,0.875,1,64,69,7.32,round_robin,2.9563e-03,0.6533,0
R0.875_w1,0.875,1,64,69,7.32,seed0_default,7.3031e-03,0.7967,0
R0.875_w2,0.875,2,64,69,7.46,rl,7.9190e-04,0.4233,0
R0.875_w2,0.875,2,64,69,7.46,rl_peredge,9.0033e-04,0.3833,0
R0.875_w2,0.875,2,64,69,7.46,cem,1.4527e-03,0.4133,0
R0.875_w2,0.875,2,64,69,7.46,random_search,1.2079e-03,0.3833,0
R0.875_w2,0.875,2,64,69,7.46,round_robin,3.8205e-03,0.7600,0
R0.875_w2,0.875,2,64,69,7.46,seed0_default,2.7057e-03,0.6667,0
R0.875_w3,0.875,3,64,69,7.61,rl,3.1513e-04,0.4267,0
R0.875_w3,0.875,3,64,69,7.61,rl_peredge,6.7314e-04,0.3600,0
R0.875_w3,0.875,3,64,69,7.61,cem,8.2281e-04,0.6167,0
R0.875_w3,0.875,3,64,69,7.61,random_search,1.1900e-03,0.5333,0
R0.875_w3,0.875,3,64,69,7.61,round_robin,2.5045e-03,0.6567,0
R0.875_w3,0.875,3,64,69,7.61,seed0_default,3.0132e-03,0.7267,0
