cell,rate,w,method,eval,mean_reward,best_val_ber
R0.5_w1,0.5,1,rl,40,2.0107,7.6123e-03
R0.5_w1,0.5,1,rl,80,2.3505,5.2250e-03
R0.5_w1,0.5,1,rl,120,2.0078,3.9837e-03
R0.5_w1,0.5,1,rl,160,2.4303,3.9837e-03
R0.5_w1,0.5,1,rl,200,2.4218,3.9837e-03
R0.5_w1,0.5,1,rl,240,1.9758,3.9837e-03
R0.5_w1,0.5,1,rl,280,2.1488,3.9837e-03
R0.5_w1,0.5,1,rl,320,2.1562,3.9837e-03
R0.5_w1,0.5,1,rl,360,2.6166,3.9837e-03
R0.5_w1,0.5,1,rl,400,2.4138,3.0056e-03
R0.5_w1,0.5,1,rl,440,2.7140,2.8732e-03
R0.5_w1,0.5,1,rl,480,2.3487,2.8732e-03
R0.5_w1,0.5,1,rl_peredge,40,2.6080,8.8133e-03
R0.5_w1,0.5,1,rl_peredge,80,2.4961,6.6196e-03
R0.5_w1,0.5,1,rl_peredge,120,2.3066,3.5834e-03
R0.5_w1,0.5,1,rl_peredge,160,2.7468,3.5834e-03
R0.5_w1,0.5,1,rl_peredge,200,2.7533,3.4607e-03
R0.5_w1,0.5,1,rl_peredge,240,2.8942,3.4607e-03
R0.5_w1,0.5,1,rl_peredge,280,2.6531,3.4607e-03
R0.5_w1,0.5,1,rl_peredge,320,2.8656,3.4349e-03
R0.5_w1,0.5,1,rl_peredge,360,3.0281,3.4349e-03
R0.5_w1,0.5,1,rl_peredge,400,2.6238,3.4349e-03
R0.5_w1,0.5,1,rl_peredge,440,2.7317,3.4349e-03
R0.5_w1,0.5,1,rl_peredge,480,2.9797,2.3728e-03
R0.5_w1,0.5,1,cem,40,,4.8408e-03
R0.5_w1,0.5,1,cem,80,,4.8408e-03
R0.5_w1,0.5,1,cem,120,,4.8408e-03
R0.5_w1,0.5,1,cem,160,,3.9983e-03
R0.5_w1,0.5,1,cem,200,,3.9983e-03
R0.5_w1,0.5,1,cem,240,,3.5850e-03
R0.5_w1,0.5,1,cem,280,,3.5850e-03
R0.5_w1,0.5,1,cem,320,,3.5850e-03
R0.5_w1,0.5,1,cem,360,,3.1605e-03
R0.5_w1,0.5,1,cem,400,,3.1605e-03
R0.5_w1,0.5,1,cem,440,,3.1605e-03
R0.5_w1,0.5,1,cem,480,,3.1605e-03
R0.5_w1,0.5,1,random,40,,6.0515e-03
R0.5_w1,0.5,1,random,80,,6.0515e-03
R0.5_w1,0.5,1,random,120,,6.0515e-03
R0.5_w1,0.5,1,random,160,,5.3412e-03
R0.5_w1,0.5,1,random,200,,4.1355e-03
R0.5_w1,0.5,1,random,240,,4.1355e-03
R0.5_w1,0.5,1,random,280,,4.1355e-03
R0.5_w1,0.5,1,random,320,,4.1355e-03
R0.5_w1,0.5,1,random,360,,4.1355e-03
R0.5_w1,0.5,1,random,400,,4.1355e-03
R0.5_w1,0.5,1,random,440,,3.4188e-03
R0.5_w1,0.5,1,random,480,,3.4188e-03
R0.5_w2,0.5,2,rl,40,2.8214,1.3352e-03
R0.5_w2,0.5,2,rl,80,2.8707,1.1293e-03
R0.5_w2,0.5,2,rl,120,2.6862,1.0689e-03
