M,esn0_db,nu_star,rbmd_uniform,rbmd_shaped,mi_uniform,mi_shaped
4,2.0,0.0,1.2872,1.2872,1.2872,1.2872
4,4.0,0.0,1.5898,1.5898,1.5898,1.5898
4,6.0,0.0,1.8239,1.8239,1.8239,1.8239
4,8.0,0.0,1.9529,1.9529,1.9529,1.9529
4,10.0,0.0,1.9935,1.9935,1.9935,1.9935
4,12.0,0.0,1.9997,1.9997,1.9997,1.9997
4,14.0,0.0,2.0,2.0,2.0,2.0
4,16.0,0.0,2.0,2.0,2.0,2.0
4,18.0,0.0,2.0,2.0,2.0,2.0
4,20.0,0.0,2.0,2.0,2.0,2.0
4,22.0,0.0,2.0,2.0,2.0,2.0
4,24.0,0.0,2.0,2.0,2.0,2.0
4,26.0,0.0,2.0,2.0,2.0,2.0
4,28.0,0.0,2.0,2.0,2.0,2.0
16,2.0,0.2733,1.2631,1.3615,1.3462,1.3665
16,4.0,0.2094,1.6929,1.8018,1.7511,1.8052
16,6.0,0.1583,2.1777,2.2919,2.2035,2.2933
16,8.0,0.12,2.6753,2.7908,2.6808,2.7911
16,10.0,0.0817,3.162,3.2577,3.1623,3.2577
16,12.0,0.0561,3.5794,3.6289,3.5794,3.6289
16,14.0,0.0306,3.8531,3.8663,3.8531,3.8663
16,16.0,0.005,3.9709,3.9722,3.9709,3.9722
16,18.0,0.0,3.9975,3.9975,3.9975,3.9975
16,20.0,0.0,4.0,4.0,4.0,4.0
16,22.0,0.0,4.0,4.0,4.0,4.0
16,24.0,0.0,4.0,4.0,4.0,4.0
16,26.0,0.0,4.0,4.0,4.0,4.0
16,28.0,0.0,4.0,4.0,4.0,4.0
64,2.0,0.2733,1.1737,1.36,1.3478,1.3658
64,4.0,0.2094,1.5759,1.804,1.7656,1.809
64,6.0,0.1456,2.0495,2.3085,2.2343,2.314
64,8.0,0.1072,2.583,2.8598,2.7362,2.8634
64,10.0,0.0689,3.1699,3.4482,3.27,3.452
64,12.0,0.0561,3.7817,4.0458,3.8264,4.0465
64,14.0,0.0306,4.383,4.6193,4.3934,4.6198
64,16.0,0.0306,4.9627,5.1352,4.9635,5.1352
64,18.0,0.0178,5.4613,5.5547,5.4614,5.5547
64,20.0,0.005,5.8013,5.8268,5.8013,5.8268
64,22.0,0.0,5.9588,5.9588,5.9588,5.9588
64,24.0,0.0,5.9957,5.9957,5.9957,5.9957
64,26.0,0.0,5.9999,5.9999,5.9999,5.9999
64,28.0,0.0,6.0,6.0,6.0,6.0
256,2.0,0.2861,1.1513,1.3611,1.3499,1.3657
256,4.0,0.2094,1.5434,1.8051,1.7724,1.8101
256,6.0,0.1456,1.9908,2.3088,2.2397,2.3143
256,8.0,0.1072,2.4905,2.8607,2.7466,2.8644
256,10.0,0.0689,3.0341,3.451,3.2863,3.4554
256,12.0,0.0433,3.6105,4.0665,3.8453,4.072
256,14.0,0.0306,4.2408,4.6978,4.431,4.7011
256,16.0,0.0178,4.9109,5.3375,5.0323,5.3424
256,18.0,0.0178,5.5864,5.9549,5.641,5.9551
256,20.0,0.005,6.2427,6.5036,6.2557,6.5059
256,22.0,0.005,6.8662,7.0909,6.8672,7.0909
256,24.0,0.005,7.4055,7.5245,7.4055,7.5245
256,26.0,0.0,7.7767,7.7767,7.7767,7.7767
256,28.0,0.0,7.9511,7.9511,7.9511,7.9511
