cell,rate,w,M,Z,E,train_snr,method,ber,fer,nu,net_rate,n4,girth
R0.75_w3_M256_Z32,0.75,3,256,32,96,7.2,rl_joint,7.8914e-06,0.0050,0.047709430401853554,3.7701,0,6
R0.75_w3_M256_Z32,0.75,3,256,32,96,7.2,shaped_random,9.9353e-04,0.2950,0.0369,4.0247,288,4
R0.75_w3_M256_Z32,0.75,3,256,32,96,7.2,shaped_rr,4.1635e-03,0.6350,0.0369,4.0247,0,6
R0.75_w3_M256_Z32,0.75,3,256,32,96,7.2,uniform_rr,1.8146e-01,1.0000,0.0,5.5,0,6
R0.75_w3_M64_Z32,0.75,3,64,32,96,6.64,rl_joint,0.0000e+00,0.0000,0.07438793928346119,3.3088,352,4
R0.75_w3_M64_Z32,0.75,3,64,32,96,6.64,shaped_random,1.3731e-04,0.0700,0.0625,3.4577,0,6
R0.75_w3_M64_Z32,0.75,3,64,32,96,6.64,shaped_rr,1.0851e-03,0.3450,0.0625,3.4577,0,6
R0.75_w3_M64_Z32,0.75,3,64,32,96,6.64,uniform_rr,1.3118e-01,1.0000,0.0,4.125,0,6
R0.833_w4_M256_Z64,0.833,4,256,64,75,8.74,rl_joint,0.0000e+00,0.0000,0.047708183251086216,4.1601,0,6
R0.833_w4_M256_Z64,0.833,4,256,64,75,8.74,shaped_random,5.9970e-04,0.5700,0.0369,4.441,0,6
R0.833_w4_M256_Z64,0.833,4,256,64,75,8.74,shaped_rr,5.2117e-03,0.9700,0.0369,4.441,0,6
R0.833_w4_M256_Z64,0.833,4,256,64,75,8.74,uniform_rr,1.4707e-01,1.0000,0.0,6.069,0,6
R0.833_w4_M64_Z32,0.833,4,64,32,75,7.72,rl_joint,7.9901e-06,0.0250,0.0834643752397135,3.5353,0,6
R0.833_w4_M64_Z32,0.833,4,64,32,75,7.72,shaped_random,7.3420e-04,0.2750,0.0625,3.8154,0,6
R0.833_w4_M64_Z32,0.833,4,64,32,75,7.72,shaped_rr,4.5774e-03,0.8150,0.0625,3.8154,0,6
R0.833_w4_M64_Z32,0.833,4,64,32,75,7.72,uniform_rr,1.0188e-01,1.0000,0.0,4.5517,0,6
