key,group,M,mod,rate,sc_rate,se,w,L,Z,W,snr0,ebn0@1e-4,construction,ebn0_grid,ber_grid,fer_grid
M16_R0.5_w3_L50_Z16_main_Z16,main_Z16,16,16-QAM,0.5,0.4832,1.933,3,50,16,6,4.23,4.70,round_robin,2.73|3.48|4.23|4.93|5.63|6.43,2.149e-01|1.726e-01|1.911e-02|7.556e-06|4.901e-06|0.000e+00,1.000|1.000|1.000|0.125|0.027|0.000
M16_R0.5_w3_L50_Z32_main_Z32,main_Z32,16,16-QAM,0.5,0.4832,1.933,3,50,32,6,4.23,4.66,round_robin,2.73|3.48|4.23|4.93|5.63|6.43,2.139e-01|1.677e-01|5.402e-04|3.400e-05|0.000e+00|0.000e+00,1.000|1.000|0.750|0.125|0.000|0.000
M16_R0.5_w3_L50_Z32_main_Z32,main_Z32,16,16-QAM,0.5,0.4832,1.933,3,50,32,6,4.23,4.55,random_seed0,2.73|3.48|4.23|4.93|5.63|6.43,2.193e-01|1.837e-01|2.913e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M16_R0.5_w3_L50_Z64_main_Z64,main_Z64,16,16-QAM,0.5,0.4832,1.933,3,50,64,6,3.94,4.28,round_robin,2.44|3.19|3.94|4.64|5.34|6.14,2.233e-01|1.912e-01|7.902e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M16_R0.667_w3_L50_Z16_main_Z16,main_Z16,16,16-QAM,0.667,0.6503,2.601,3,50,16,6,5.6,5.89,round_robin,4.1|4.85|5.6|6.3|7.0|7.8,1.501e-01|1.124e-01|1.371e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M16_R0.667_w3_L50_Z32_main_Z32,main_Z32,16,16-QAM,0.667,0.6503,2.601,3,50,32,6,5.3,5.81,round_robin,3.8|4.55|5.3|6.0|6.7|7.5,1.599e-01|1.350e-01|1.636e-02|1.511e-05|0.000e+00|0.000e+00,1.000|1.000|0.875|0.125|0.000|0.000
M16_R0.667_w3_L50_Z32_main_Z32,main_Z32,16,16-QAM,0.667,0.6503,2.601,3,50,32,6,5.3,5.64,random_seed0,3.8|4.55|5.3|6.0|6.7|7.5,1.652e-01|1.395e-01|6.633e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M16_R0.667_w3_L50_Z64_main_Z64,main_Z64,16,16-QAM,0.667,0.6503,2.601,3,50,64,6,5.3,5.61,round_robin,3.8|4.55|5.3|6.0|6.7|7.5,1.610e-01|1.339e-01|2.155e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M16_R0.75_w12_L100_Z32_wsweep,wsweep,16,16-QAM,0.75,0.7278,2.911,12,100,32,14,7.03,7.75,round_robin,5.53|6.28|7.03|7.73|8.43|9.23,1.049e-01|6.601e-02|1.074e-02|1.211e-04|0.000e+00|0.000e+00,1.000|1.000|1.000|0.250|0.000|0.000
M16_R0.75_w16_L100_Z32_wsweep,wsweep,16,16-QAM,0.75,0.7163,2.865,16,100,32,18,6.44,6.56,round_robin,4.94|5.69|6.44|7.14|7.84|8.64,1.180e-01|9.354e-02|4.418e-04|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
