cell,M,Z,w,L,matched_SE,method,sc_rate,nu,ebn0@1e-5,ber@end,n4,girth,gain_vs_uniform_cem_dB,gain_vs_uniform_rr_dB
M16_Z32_w3_mpu9_mps6,16,32,3,50,2.9755,uniform_rr,0.7439,0.0,6.332,0.000e+00,0,6,0.544,0.0
M16_Z32_w3_mpu9_mps6,16,32,3,50,2.9755,uniform_cem,0.7439,0.0,6.876,0.000e+00,3104,4,0.0,-0.544
M16_Z32_w3_mpu9_mps6,16,32,3,50,2.9755,shaped_rr,0.8339,0.1486,8.676,0.000e+00,0,6,-1.8,-2.344
M16_Z32_w3_mpu9_mps6,16,32,3,50,2.9755,shaped_cem,0.8339,0.1486,7.775,0.000e+00,0,6,-0.899,-1.443
M16_Z32_w3_mpu9_mps6,16,32,3,50,2.9755,constr_rl,0.8339,0.1486,7.728,0.000e+00,0,6,-0.852,-1.396
M16_Z32_w3_mpu9_mps6,16,32,3,50,2.9755,separate_rl,0.8339,0.1486,7.74,0.000e+00,0,6,-0.864,-1.408
M16_Z32_w3_mpu9_mps6,16,32,3,50,2.9755,rl_joint,0.8339,0.1486,8.09,0.000e+00,0,6,-1.214,-1.758
M16_Z32_w3_mpu9_mps6,16,32,3,200,3.0202,uniform_rr,0.7551,0.0,6.448,0.000e+00,0,6,0.009,0.0
M16_Z32_w3_mpu9_mps6,16,32,3,200,3.0202,uniform_cem,0.7551,0.0,6.457,0.000e+00,12704,4,0.0,-0.009
M16_Z32_w3_mpu9_mps6,16,32,3,200,3.0202,shaped_rr,0.8432,0.1456,8.15,0.000e+00,0,6,-1.693,-1.702
M16_Z32_w3_mpu9_mps6,16,32,3,200,3.0202,shaped_cem,0.8432,0.1456,7.894,0.000e+00,0,6,-1.437,-1.446
M16_Z32_w3_mpu9_mps6,16,32,3,200,3.0202,constr_rl,0.8432,0.1456,7.622,0.000e+00,0,6,-1.165,-1.174
M16_Z32_w3_mpu9_mps6,16,32,3,200,3.0202,separate_rl,0.8432,0.1456,7.773,0.000e+00,0,6,-1.316,-1.325
M16_Z32_w3_mpu9_mps6,16,32,3,200,3.0202,rl_joint,0.8432,0.1456,7.865,0.000e+00,0,6,-1.408,-1.417
